Latitude,Longitude,FloodPlain,Mortgage_Date,Mortgage_Maturity,HomeValue,OwnerIncomeToday
37.469189,-122.150578,No,2005,30,662367.985229765,94382.3335125448
37.469054,-122.150609,No,2017,30,576220.269663838,93770.5215812663
37.468918,-122.15064,No,2017,30,576220.269663838,84091.1265094647
37.468783,-122.150671,No,2007,31,583192.804641606,134549.277763308
37.468648,-122.150702,No,2018,30,576220.269663838,96449.0476501305
37.468381,-122.150763,No,2015,30,490010.863790011,78831.752068417
37.468248,-122.150794,No,2006,30,680449.21875,142092.329926215
37.468111,-122.150826,No,2007,40,583192.804641606,156179.35980168
37.467973,-122.150857,No,2012,30,214668.123380683,32374.5699724517
37.467809,-122.150854,No,2010,26,334883.995380003,124021.439034009
37.468065,-122.151151,No,2013,30,347498.840987821,44974.2014620724
37.468141,-122.151361,No,2002,15,289477.748054474,30516.1322957198
37.468316,-122.151242,No,2008,30,377565.570382205,100057.393255087
37.468447,-122.151211,No,2019,30,617389.803525817,65294.9336415588
37.468578,-122.151182,No,2012,30,326668.750758972,45379.2194046882
37.468714,-122.151151,No,2002,30,289713.09581712,54245.2116731517
37.468849,-122.15112,No,2017,30,576220.269663838,120994.649314621
37.468984,-122.151089,No,2003,30,415843.945975925,71288.6726086956
37.469085,-122.151066,No,2012,30,190136.15797546,31423.3768404907
37.469187,-122.151042,No,2015,30,490010.864130727,76015.9240476421
37.469325,-122.151011,No,2012,30,190136.15797546,28281.4547546012
37.469467,-122.150978,No,2012,30,214668.123658767,34572.935399449
37.469721,-122.150899,No,2012,30,326668.750714126,48208.1918081483
37.481317,-122.13878,No,2005,30,662367.998461569,98355.311469534
37.481442,-122.138502,Yes,2010,30,334870.567587184,51421.3715742745
37.481484,-122.138336,No,2017,30,576220.269663838,102845.230825718
